feature,train_auc,test_auc,auc_drop,missing_rate_train
DEF_60_CNT_SOCIAL_CIRCLE,0.515660885630292,0.5173779792784322,-0.001717093648140211,0.0033332249357744463
YEARS_BUILD_MEDI,0.5282386619635683,0.5172220024268537,0.011016659536714601,0.670932110608869
YEARS_BUILD_MODE,0.5275367815771681,0.5169135017788083,0.010623279798359753,0.670932110608869
BASEMENTAREA_AVG,0.5279231076565728,0.5168332106423228,0.011089897014250005,0.5927666308954722
FLAG_PHONE,0.5197506388164256,0.5164297222841657,0.0033209165322598544,0.0
YEARS_BUILD_AVG,0.5283802249988674,0.5163011931940524,0.012079031804814955,0.670932110608869
BASEMENTAREA_MEDI,0.5272205716455656,0.5161888884529378,0.011031683192627817,0.5927666308954722
NONLIVINGAREA_AVG,0.5135888668092139,0.5153918649343063,-0.0018029981250924365,0.559981789210107
NONLIVINGAREA_MEDI,0.5123638712717467,0.515167179365312,-0.0028033080935653265,0.559981789210107
NONLIVINGAREA_MODE,0.5108616439481604,0.5148469450823258,-0.003985301134165398,0.559981789210107
AMT_GOODS_PRICE,0.5431296087058742,0.5137299603334672,0.02939964837240705,0.0009376388843723239
INCOME_PER_FAM_MEMBER,0.52162878148344,0.5135863944457303,0.008042387037709764,5.419877944348693e-06
CNT_FAM_MEMBERS,0.5038669057089264,0.5134831118177846,-0.00961620610885816,5.419877944348693e-06
AMT_REQ_CREDIT_BUREAU_QRT,0.504256542813866,0.5131252537976301,-0.008868710983764072,0.15168612402848689
BASEMENTAREA_MODE,0.5229143994502992,0.5114006345162788,0.011513764934020343,0.5927666308954722
AMT_ANNUITY,0.5067906830153377,0.5095141447045306,-0.0027234616891929075,4.3359023554789544e-05
CREDIT_PER_FAM_MEMBER,0.5254653437282268,0.5080976641533229,0.017367679574903927,5.419877944348693e-06
CREDIT_INCOME_RATIO,0.5063968617297496,0.5076231261232791,-0.0012262643935294637,0.0
LANDAREA_AVG,0.5178685532958263,0.5073421791421786,0.010526374153647655,0.6010861435400475
LANDAREA_MEDI,0.5176956716713756,0.5067029936860736,0.010992677985302013,0.6010861435400475
AMT_INCOME_TOTAL_CAPPED,0.5284774491270674,0.5058145524459913,0.022662896681076128,0.0
AMT_INCOME_TOTAL,0.528479327692971,0.5058145524459912,0.02266477524697985,0.0
REG_REGION_NOT_WORK_REGION,0.500851210681026,0.5053107529290319,-0.004459542248005932,0.0
LANDAREA_MODE,0.5154059280786685,0.5039320732366808,0.011473854841987707,0.6010861435400475
LIVE_REGION_NOT_WORK_REGION,0.5007593923215372,0.5033617161011392,-0.0026023237796020116,0.0
NONLIVINGAPARTMENTS_AVG,0.5056414271725564,0.5032602379354304,0.002381189237126047,0.6999934961464668
AMT_REQ_CREDIT_BUREAU_MON,0.5045972549978747,0.5028030526539062,0.0017942023439684318,0.15168612402848689
FLAG_DOCUMENT_16,0.5025372466451709,0.5019718771576551,0.0005653694875157322,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.5003459923622423,0.5019119416441606,-0.001565949281918333,0.15168612402848689
REG_REGION_NOT_LIVE_REGION,0.5011817203687321,0.5017855034113197,-0.000603783042587569,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.5003078481506081,0.5015240889653007,-0.0012162408146925152,0.15168612402848689
FLAG_DOCUMENT_8,0.5064281215864763,0.501517815861345,0.004910305725131292,0.0
AMT_CREDIT,0.5281908574853013,0.5014706022937823,0.026720255191518993,0.0
NONLIVINGAPARTMENTS_MODE,0.5015703322458265,0.5014696141212518,0.00010071812457468354,0.6999934961464668
NONLIVINGAPARTMENTS_MEDI,0.5042712596408305,0.5014547863263814,0.0028164733144491194,0.6999934961464668
SK_ID_CURR,0.5015690718592185,0.5013709168195696,0.00019815503964892844,0.0
FLAG_DOCUMENT_13,0.5013123272757772,0.5010859050861804,0.00022642218959678662,0.0
FLAG_DOCUMENT_18,0.5015946949495522,0.5007908899665511,0.000803804983001144,0.0
FLAG_DOCUMENT_14,0.5011782991594902,0.5007657084681492,0.00041259069134103044,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.5000467916243572,0.5007459126715966,-0.0006991210472394593,0.15168612402848689
FLAG_DOCUMENT_5,0.5003251637810948,0.5005310132798053,-0.00020584949871049751,0.0
FLAG_DOCUMENT_9,0.500630011549666,0.5004495601208901,0.00018045142877587406,0.0
FLAG_EMAIL,0.501232595716536,0.5004004164827525,0.0008321792337835365,0.0
FLAG_DOCUMENT_15,0.5004344622257049,0.5003763916331427,5.807059256213165e-05,0.0
DAYS_ID_PUBLISH,0.5289351259887448,0.5003266185736743,0.028608507415070483,0.0
FLAG_DOCUMENT_11,0.5006684306892689,0.5002549017033869,0.0004135289858819835,0.0
FLAG_CONT_MOBILE,0.5001108216735478,0.5002341029284201,-0.00012328125487226504,0.0
FLAG_DOCUMENT_20,0.5000395512307075,0.5001689194979966,-0.00012936826728904283,0.0
FLAG_DOCUMENT_19,0.5001276633989269,0.5001429576100481,-1.529421112123064e-05,0.0
FLAG_DOCUMENT_2,0.5000149818614211,0.5001168842378787,-0.00010190237645757438,0.0
FLAG_DOCUMENT_17,0.5001130858557574,0.500086539626495,2.654622926245853e-05,0.0
FLAG_DOCUMENT_7,0.5001013267848415,0.5000389985740332,6.232821080831563e-05,0.0
FLAG_DOCUMENT_21,0.5001739836652462,0.5000346158505979,0.00013936781464829462,0.0
FLAG_DOCUMENT_4,0.5000506633924208,0.500017307925299,3.335546712179838e-05,0.0
FLAG_DOCUMENT_10,0.5000089405986625,0.5000086539626495,2.866360130360235e-07,0.0
